Collection,Asset,Primary Owner,Second Owner,Sys Admin,Label,STIGs,Benchmarks,Assessed,Submitted,Accepted,Rejected,CAT3,CAT2,CAT1
Happy Corp,Asset_1,,,,,1,Windows_Server_2019_STIG,93%,45%,0%,0%,1,11,0
Happy Corp,Asset_2,,,,test,19,"Microsoft_Word_2016,MS_Windows_10_STIG,Windows_Firewall_with_Advanced_Security,Firewall_SRG,Active_Directory_Forest,A10_Networks_ADC_ALG_STIG,MS_Defender_Antivirus,Active_Directory_Domain,Windows_Server_2016_STIG,Windows_Server_2019_STIG,Microsoft_PowerPoint_2016,Microsoft_Outlook_2016,Microsoft_OneDrive,Microsoft_Office_System_2016,Microsoft_Excel_2016,MS_Edge_STIG,IE_11_STIG,MS_Dot_Net_Framework,Adobe_Acrobat_Reader_DC_Continuous_Track_STIG",46%,1%,0%,0%,12,15,4
Happy Corp,Asset_3,,,,,17,"Google_Chrome_Current_Windows,Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Windows_Server_2019_STIG,Windows_Server_2016_STIG,A10_Networks_ADC_ALG_STIG,Active_Directory_Forest,Windows_Firewall_with_Advanced_Security,MS_Windows_10_STIG,Microsoft_Word_2013,Microsoft_OneDrive,Microsoft_Office_System_2013,Microsoft_Excel_2013,MS_Edge_STIG,MS_Defender_Antivirus,IE_11_STIG,MS_Dot_Net_Framework,Microsoft_PowerPoint_2013",49%,0%,0%,0%,10,15,4
Happy Corp,Asset_4,,,,,2,"Windows_Server_2019_STIG,A10_Networks_ADC_ALG_STIG",82%,0%,0%,0%,0,2,0
Happy Corp,NPDMRSD04,,,,,1,MS_Dot_Net_Framework,88%,0%,0%,0%,0,0,0
NP_C10-ASI_1838_DBS,ASI_DWEB03,,,,,1,Application_Security_Development_STIG,100%,100%,100%,0%,0,2,0
NP_C10-ASI_1838_DBS,C27DATNWPT49,,,,,5,"MS_Dot_Net_Framework,IE_11_STIG,MS_Defender_Antivirus,Windows_2012_MS_STIG,Splunk_Enterprise_7-x_for_Windows_STIG",100%,100%,100%,0%,1,4,0
NP_C10-ASI_1838_DBS,C27DDATNWPT01,,,,,4,"Splunk_Enterprise_7-x_for_Windows_STIG,Windows_2012_MS_STIG,IE_11_STIG,MS_Dot_Net_Framework",100%,100%,100%,0%,0,7,0
NP_C10-ASI_1838_DBS,C27DWEBNWPT03,,,,,5,"MS_Dot_Net_Framework,IE_11_STIG,IIS_8-5_Server_STIG,Windows_2012_MS_STIG,Splunk_Enterprise_7-x_for_Windows_STIG",92%,92%,92%,0%,2,18,0
NP_C10-ASI_1838_DBS,NPRI54WEB51,,,,,6,"MS_Dot_Net_Framework,IE_11_STIG,MS_Defender_Antivirus,Windows_2012_MS_STIG,IIS_8-5_Server_STIG,Splunk_Enterprise_7-x_for_Windows_STIG",93%,93%,93%,0%,2,7,0
